노출상품ID,option_int,옵션명,상품타입,카테고리,아이템위너 비율(%),순 판매 금액(전체 거래 금액 - 취소 금액),순 판매 상품 수(전체 거래 상품 수 - 취소 상품 수),전체 거래 금액,전체 거래 상품 수,총 취소 금액,총 취소 상품 수,즉시 취소 상품 수,reg_date,account
6671890526,84760762381,"페미론큐 이노시톨 플러스 콜린, 50포, 1박스",로켓그로스,식품,97.1%,77980,2,77980,2,0,0,0,2023-04-20,A00350733
6858835566,84761041949,"페미론큐 글루타치온 비타민C 39종 복합성분 850mg, 180정, 1박스",로켓그로스,식품,100.0%,118980,2,118980,2,0,0,0,2023-04-20,A00350733
6621868536,84881967853,"판토모나 비오틴 하이퍼포머, 240정, 3박스",로켓그로스,식품,0.0%,0,0,0,0,0,0,0,2023-04-20,A00350733
6945061176,84921890534,"콘디맥스 황금비 복합 비타민C 1000 아연 셀렌 엽산 비타민씨, 100정",로켓그로스,식품,100.0%,0,0,0,0,0,0,0,2023-04-20,A00350733
7143935799,85103347463,"써큐시안 블러드케어 3구 선물세트 + 쇼핑백, 1개",로켓그로스,식품,100.0%,159900,1,159900,1,0,0,0,2023-04-20,A00350733
6621868536,85498804254,"판토모나 비오틴 하이퍼포머, 240정, 1박스",로켓그로스,식품,85.8%,1534000,26,1534000,26,0,0,0,2023-04-20,A00350733
6671890526,84760762381,"페미론큐 이노시톨 플러스 콜린, 50포, 1박스",로켓그로스,식품,97.8%,38990,1,38990,1,0,0,0,2023-04-21,A00350733
6858835566,84761041949,"페미론큐 글루타치온 비타민C 39종 복합성분 850mg, 180정, 1박스",로켓그로스,식품,98.8%,59490,1,59490,1,0,0,0,2023-04-21,A00350733
6621868536,84881967853,"판토모나 비오틴 하이퍼포머, 240정, 3박스",로켓그로스,식품,0.0%,0,0,0,0,0,0,0,2023-04-21,A00350733
6945061176,84921890534,"콘디맥스 황금비 복합 비타민C 1000 아연 셀렌 엽산 비타민씨, 100정",로켓그로스,식품,46.2%,0,0,0,0,0,0,0,2023-04-21,A00350733
7143935799,85103347463,"써큐시안 블러드케어 3구 선물세트 + 쇼핑백, 1개",로켓그로스,식품,100.0%,479700,3,639600,4,159900,1,0,2023-04-21,A00350733
6621868536,85498804254,"판토모나 비오틴 하이퍼포머, 240정, 1박스",로켓그로스,식품,93.4%,1062000,18,1180000,20,118000,2,0,2023-04-21,A00350733
6671890526,84760762381,"페미론큐 이노시톨 플러스 콜린, 50포, 1박스",로켓그로스,식품,28.6%,116970,3,116970,3,0,0,0,2023-04-22,A00350733
6858835566,84761041949,"페미론큐 글루타치온 비타민C 39종 복합성분 850mg, 180정, 1박스",로켓그로스,식품,100.0%,356940,6,356940,6,0,0,0,2023-04-22,A00350733
6621868536,84881967853,"판토모나 비오틴 하이퍼포머, 240정, 3박스",로켓그로스,식품,0.0%,0,0,0,0,0,0,0,2023-04-22,A00350733
6945061176,84921890534,"콘디맥스 황금비 복합 비타민C 1000 아연 셀렌 엽산 비타민씨, 100정",로켓그로스,식품,100.0%,0,0,0,0,0,0,0,2023-04-22,A00350733
7143935799,85103347463,"써큐시안 블러드케어 3구 선물세트 + 쇼핑백, 1개",로켓그로스,식품,100.0%,0,0,0,0,0,0,0,2023-04-22,A00350733
6621868536,85498804254,"판토모나 비오틴 하이퍼포머, 240정, 1박스",로켓그로스,식품,95.1%,1062000,18,1239000,21,177000,3,0,2023-04-22,A00350733
6858835566,84761041949,"페미론큐 글루타치온 비타민C 39종 복합성분 850mg, 180정, 1박스",로켓그로스,식품,0.0%,297450,5,297450,5,0,0,0,2023-04-23,A00350733
7143935799,85103347463,"써큐시안 블러드케어 3구 선물세트 + 쇼핑백, 1개",로켓그로스,식품,0.0%,319800,2,319800,2,0,0,0,2023-04-23,A00350733
6621868536,85498804254,"판토모나 비오틴 하이퍼포머, 240정, 1박스",로켓그로스,식품,0.0%,1652000,28,1711000,29,59000,1,0,2023-04-23,A00350733
