노출상품ID,option_int,옵션명,상품타입,카테고리,아이템위너 비율(%),순 판매 금액(전체 거래 금액 - 취소 금액),순 판매 상품 수(전체 거래 상품 수 - 취소 상품 수),전체 거래 금액,전체 거래 상품 수,총 취소 금액,총 취소 상품 수,즉시 취소 상품 수,reg_date,account
6945061176,84921890534,"콘디맥스 황금비 복합 비타민C 1000 아연 셀렌 엽산 비타민씨, 100정",로켓그로스,식품,88.9%,0,0,0,0,0,0,0,2023-02-10,A00350733
6621868536,84881967853,"판토모나 비오틴 하이퍼포머, 240정, 3박스",로켓그로스,식품,100.0%,556000,4,556000,4,0,0,0,2023-02-11,A00350733
6945061176,84921890534,"콘디맥스 황금비 복합 비타민C 1000 아연 셀렌 엽산 비타민씨, 100정",로켓그로스,식품,100.0%,0,0,0,0,0,0,0,2023-02-11,A00350733
6621868536,84881967853,"판토모나 비오틴 하이퍼포머, 240정, 3박스",로켓그로스,식품,100.0%,834000,6,834000,6,0,0,0,2023-02-12,A00350733
6945061176,84921890534,"콘디맥스 황금비 복합 비타민C 1000 아연 셀렌 엽산 비타민씨, 100정",로켓그로스,식품,100.0%,0,0,0,0,0,0,0,2023-02-12,A00350733
6858835566,84761041949,"페미론큐 글루타치온 비타민C 39종 복합성분 850mg, 180정, 1박스",로켓그로스,식품,100.0%,0,0,0,0,0,0,0,2023-02-13,A00350733
6621868536,84881967853,"판토모나 비오틴 하이퍼포머, 240정, 3박스",로켓그로스,식품,100.0%,417000,3,556000,4,139000,1,0,2023-02-13,A00350733
6945061176,84921890534,"콘디맥스 황금비 복합 비타민C 1000 아연 셀렌 엽산 비타민씨, 100정",로켓그로스,식품,100.0%,0,0,0,0,0,0,0,2023-02-13,A00350733
6671890526,84760762381,"페미론큐 이노시톨 플러스 콜린, 50포, 1박스",로켓그로스,식품,100.0%,39000,1,39000,1,0,0,0,2023-02-14,A00350733
6858835566,84761041949,"페미론큐 글루타치온 비타민C 39종 복합성분 850mg, 180정, 1박스",로켓그로스,식품,100.0%,0,0,0,0,0,0,0,2023-02-14,A00350733
6621868536,84881967853,"판토모나 비오틴 하이퍼포머, 240정, 3박스",로켓그로스,식품,100.0%,417000,3,417000,3,0,0,0,2023-02-14,A00350733
6945061176,84921890534,"콘디맥스 황금비 복합 비타민C 1000 아연 셀렌 엽산 비타민씨, 100정",로켓그로스,식품,100.0%,0,0,0,0,0,0,0,2023-02-14,A00350733
6671890526,84760762381,"페미론큐 이노시톨 플러스 콜린, 50포, 1박스",로켓그로스,식품,100.0%,0,0,0,0,0,0,0,2023-02-15,A00350733
6858835566,84761041949,"페미론큐 글루타치온 비타민C 39종 복합성분 850mg, 180정, 1박스",로켓그로스,식품,100.0%,0,0,0,0,0,0,0,2023-02-15,A00350733
6621868536,84881967853,"판토모나 비오틴 하이퍼포머, 240정, 3박스",로켓그로스,식품,100.0%,834000,6,834000,6,0,0,0,2023-02-15,A00350733
6945061176,84921890534,"콘디맥스 황금비 복합 비타민C 1000 아연 셀렌 엽산 비타민씨, 100정",로켓그로스,식품,100.0%,0,0,0,0,0,0,0,2023-02-15,A00350733
6671890526,84760762381,"페미론큐 이노시톨 플러스 콜린, 50포, 1박스",로켓그로스,식품,100.0%,78000,2,78000,2,0,0,0,2023-02-16,A00350733
6858835566,84761041949,"페미론큐 글루타치온 비타민C 39종 복합성분 850mg, 180정, 1박스",로켓그로스,식품,100.0%,59500,1,59500,1,0,0,0,2023-02-16,A00350733
6621868536,84881967853,"판토모나 비오틴 하이퍼포머, 240정, 3박스",로켓그로스,식품,100.0%,834000,6,834000,6,0,0,0,2023-02-16,A00350733
6945061176,84921890534,"콘디맥스 황금비 복합 비타민C 1000 아연 셀렌 엽산 비타민씨, 100정",로켓그로스,식품,100.0%,0,0,0,0,0,0,0,2023-02-16,A00350733
6671890526,84760762381,"페미론큐 이노시톨 플러스 콜린, 50포, 1박스",로켓그로스,식품,100.0%,0,0,0,0,0,0,0,2023-02-17,A00350733
6621868536,84881967853,"판토모나 비오틴 하이퍼포머, 240정, 3박스",로켓그로스,식품,100.0%,695000,5,695000,5,0,0,0,2023-02-17,A00350733
6945061176,84921890534,"콘디맥스 황금비 복합 비타민C 1000 아연 셀렌 엽산 비타민씨, 100정",로켓그로스,식품,100.0%,0,0,0,0,0,0,0,2023-02-17,A00350733
6671890526,84760762381,"페미론큐 이노시톨 플러스 콜린, 50포, 1박스",로켓그로스,식품,100.0%,0,0,0,0,0,0,0,2023-02-18,A00350733
6858835566,84761041949,"페미론큐 글루타치온 비타민C 39종 복합성분 850mg, 180정, 1박스",로켓그로스,식품,100.0%,0,0,0,0,0,0,0,2023-02-18,A00350733
6621868536,84881967853,"판토모나 비오틴 하이퍼포머, 240정, 3박스",로켓그로스,식품,100.0%,973000,7,1112000,8,139000,1,0,2023-02-18,A00350733
6945061176,84921890534,"콘디맥스 황금비 복합 비타민C 1000 아연 셀렌 엽산 비타민씨, 100정",로켓그로스,식품,100.0%,0,0,0,0,0,0,0,2023-02-18,A00350733
6671890526,84760762381,"페미론큐 이노시톨 플러스 콜린, 50포, 1박스",로켓그로스,식품,100.0%,0,0,0,0,0,0,0,2023-02-19,A00350733
6858835566,84761041949,"페미론큐 글루타치온 비타민C 39종 복합성분 850mg, 180정, 1박스",로켓그로스,식품,100.0%,0,0,0,0,0,0,0,2023-02-19,A00350733
6621868536,84881967853,"판토모나 비오틴 하이퍼포머, 240정, 3박스",로켓그로스,식품,100.0%,834000,6,834000,6,0,0,0,2023-02-19,A00350733
6945061176,84921890534,"콘디맥스 황금비 복합 비타민C 1000 아연 셀렌 엽산 비타민씨, 100정",로켓그로스,식품,100.0%,0,0,0,0,0,0,0,2023-02-19,A00350733
6671890526,84760762381,"페미론큐 이노시톨 플러스 콜린, 50포, 1박스",로켓그로스,식품,100.0%,0,0,0,0,0,0,0,2023-02-20,A00350733
6858835566,84761041949,"페미론큐 글루타치온 비타민C 39종 복합성분 850mg, 180정, 1박스",로켓그로스,식품,100.0%,0,0,0,0,0,0,0,2023-02-20,A00350733
6621868536,84881967853,"판토모나 비오틴 하이퍼포머, 240정, 3박스",로켓그로스,식품,100.0%,556000,4,556000,4,0,0,0,2023-02-20,A00350733
6945061176,84921890534,"콘디맥스 황금비 복합 비타민C 1000 아연 셀렌 엽산 비타민씨, 100정",로켓그로스,식품,100.0%,0,0,0,0,0,0,0,2023-02-20,A00350733
6671890526,84760762381,"페미론큐 이노시톨 플러스 콜린, 50포, 1박스",로켓그로스,식품,100.0%,0,0,0,0,0,0,0,2023-02-21,A00350733
6621868536,84881967853,"판토모나 비오틴 하이퍼포머, 240정, 3박스",로켓그로스,식품,100.0%,417000,3,417000,3,0,0,0,2023-02-21,A00350733
6945061176,84921890534,"콘디맥스 황금비 복합 비타민C 1000 아연 셀렌 엽산 비타민씨, 100정",로켓그로스,식품,100.0%,0,0,0,0,0,0,0,2023-02-21,A00350733
6671890526,84760762381,"페미론큐 이노시톨 플러스 콜린, 50포, 1박스",로켓그로스,식품,100.0%,0,0,0,0,0,0,0,2023-02-22,A00350733
6858835566,84761041949,"페미론큐 글루타치온 비타민C 39종 복합성분 850mg, 180정, 1박스",로켓그로스,식품,100.0%,0,0,0,0,0,0,0,2023-02-22,A00350733
6621868536,84881967853,"판토모나 비오틴 하이퍼포머, 240정, 3박스",로켓그로스,식품,100.0%,695000,5,834000,6,139000,1,0,2023-02-22,A00350733
6945061176,84921890534,"콘디맥스 황금비 복합 비타민C 1000 아연 셀렌 엽산 비타민씨, 100정",로켓그로스,식품,100.0%,0,0,0,0,0,0,0,2023-02-22,A00350733
6858835566,84761041949,"페미론큐 글루타치온 비타민C 39종 복합성분 850mg, 180정, 1박스",로켓그로스,식품,100.0%,0,0,0,0,0,0,0,2023-02-23,A00350733
6621868536,84881967853,"판토모나 비오틴 하이퍼포머, 240정, 3박스",로켓그로스,식품,100.0%,417000,3,417000,3,0,0,0,2023-02-23,A00350733
6671890526,84760762381,"페미론큐 이노시톨 플러스 콜린, 50포, 1박스",로켓그로스,식품,100.0%,0,0,0,0,0,0,0,2023-02-24,A00350733
6621868536,84881967853,"판토모나 비오틴 하이퍼포머, 240정, 3박스",로켓그로스,식품,100.0%,417000,3,417000,3,0,0,0,2023-02-24,A00350733
6945061176,84921890534,"콘디맥스 황금비 복합 비타민C 1000 아연 셀렌 엽산 비타민씨, 100정",로켓그로스,식품,100.0%,0,0,0,0,0,0,0,2023-02-24,A00350733
6671890526,84760762381,"페미론큐 이노시톨 플러스 콜린, 50포, 1박스",로켓그로스,식품,100.0%,0,0,0,0,0,0,0,2023-02-25,A00350733
6858835566,84761041949,"페미론큐 글루타치온 비타민C 39종 복합성분 850mg, 180정, 1박스",로켓그로스,식품,100.0%,0,0,0,0,0,0,0,2023-02-25,A00350733
6621868536,84881967853,"판토모나 비오틴 하이퍼포머, 240정, 3박스",로켓그로스,식품,100.0%,695000,5,834000,6,139000,1,0,2023-02-25,A00350733
6945061176,84921890534,"콘디맥스 황금비 복합 비타민C 1000 아연 셀렌 엽산 비타민씨, 100정",로켓그로스,식품,100.0%,0,0,0,0,0,0,0,2023-02-25,A00350733
6858835566,84761041949,"페미론큐 글루타치온 비타민C 39종 복합성분 850mg, 180정, 1박스",로켓그로스,식품,100.0%,0,0,0,0,0,0,0,2023-02-26,A00350733
6621868536,84881967853,"판토모나 비오틴 하이퍼포머, 240정, 3박스",로켓그로스,식품,100.0%,1251000,9,1251000,9,0,0,0,2023-02-26,A00350733
6945061176,84921890534,"콘디맥스 황금비 복합 비타민C 1000 아연 셀렌 엽산 비타민씨, 100정",로켓그로스,식품,100.0%,0,0,0,0,0,0,0,2023-02-26,A00350733
6671890526,84760762381,"페미론큐 이노시톨 플러스 콜린, 50포, 1박스",로켓그로스,식품,100.0%,39000,1,39000,1,0,0,0,2023-02-27,A00350733
6858835566,84761041949,"페미론큐 글루타치온 비타민C 39종 복합성분 850mg, 180정, 1박스",로켓그로스,식품,100.0%,0,0,0,0,0,0,0,2023-02-27,A00350733
